sym,ts,lp,bid_price,bid_quantity,ask_price,ask_quantity
EURs/AUD,2018-12-06T13:00:00.007Z,LP0,1575760,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.007Z,LP0,1575680,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.008Z,LP1,1575890,100000000,1576000,100000000
EUR/AUD,2018-12-06T13:00:00.012Z,LP0,1575720,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.013Z,LP0,1575800,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.014Z,LP0,1575840,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.014Z,LP0,1575840,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.015Z,LP0,1575760,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.008Z,LP2,1575820,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.020Z,LP0,1575800,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.023Z,LP0,1575760,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.023Z,LP0,1575680,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.025Z,LP2,1575840,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.025Z,LP3,1575850,100000000,1576000,100000000
EUR/AUD,2018-12-06T13:00:00.028Z,LP0,1575760,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.028Z,LP0,1575800,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.033Z,LP0,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP4,1575830,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP4,1575840,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP5,1575800,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP5,1575810,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP6,1575860,100000000,1576000,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP7,1575770,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.032Z,LP7,1575770,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.035Z,LP4,1575830,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.035Z,LP7,1575780,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.035Z,LP5,1575800,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.037Z,LP8,1575860,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.039Z,LP7,1575790,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.039Z,LP5,1575810,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.039Z,LP4,1575840,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.039Z,LP6,1575860,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.050Z,LP8,1575860,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.056Z,LP0,1575800,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.057Z,LP0,1575840,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.061Z,LP4,1575840,100000000,1576020,100000000
EUR/AUD,2018-12-06T13:00:00.061Z,LP5,1575810,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.061Z,LP3,1575850,100000000,1576010,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP4,1575840,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP4,1575890,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP7,1575790,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP7,1575810,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP5,1575810,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP5,1575870,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP3,1575850,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP3,1575900,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP6,1575860,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.066Z,LP6,1575910,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.073Z,LP4,1575890,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.073Z,LP7,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.073Z,LP5,1575860,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.077Z,LP7,1575810,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.077Z,LP4,1575890,100000000,1576070,100000000
EUR/AUD,2018-12-06T13:00:00.077Z,LP5,1575870,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.086Z,LP7,1575800,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.086Z,LP4,1575890,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.086Z,LP5,1575860,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.090Z,LP0,1575840,100000000,1576200,100000000
EUR/AUD,2018-12-06T13:00:00.103Z,LP0,1575840,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.108Z,LP1,1575930,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.109Z,LP8,1575890,100000000,1576040,50000000
EUR/AUD,2018-12-06T13:00:00.110Z,LP7,1575810,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.110Z,LP5,1575870,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP7,1575820,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP7,1575820,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP4,1575870,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP4,1575870,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP5,1575850,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP5,1575850,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP6,1575900,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP6,1575900,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP3,1575890,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.119Z,LP3,1575890,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.124Z,LP4,1575870,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.124Z,LP4,1575880,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.124Z,LP7,1575840,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.124Z,LP5,1575840,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.127Z,LP0,1575760,100000000,1576160,100000000
EUR/AUD,2018-12-06T13:00:00.127Z,LP0,1575760,100000000,1576120,100000000
EUR/AUD,2018-12-06T13:00:00.130Z,LP0,1575760,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.132Z,LP0,1575800,100000000,1576080,100000000
EUR/AUD,2018-12-06T13:00:00.136Z,LP0,1575800,100000000,1576200,100000000
EUR/AUD,2018-12-06T13:00:00.128Z,LP8,1575890,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP4,1575860,100000000,1576060,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP4,1575860,100000000,1576040,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP7,1575810,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP7,1575810,100000000,1576090,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP3,1575880,100000000,1576050,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP3,1575880,100000000,1576030,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP5,1575830,100000000,1576100,100000000
EUR/AUD,2018-12-06T13:00:00.131Z,LP6,1575880,100000000,1576040,100000000
